,Región,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Arica y Parinacota,2310,374,2150
1,Tarapacá,1204,965,3021
2,Antofagasta,2134,3635,5588
3,Atacama,912,953,2654
4,Coquimbo,3502,4586,4849
5,Valparaíso,5254,11996,18567
6,Metropolitana,19649,63252,71081
7,Lib. Gral. B. O'Higgins,2064,5921,1650
8,Maule,5781,3635,5969
9,Biobío,7706,14064,20515
10,Araucanía,3397,4396,8734
11,Los Ríos,1614,1040,3529
12,Los Lagos,2933,4463,5382
13,Aysén,598,19,454
14,Magallanes,976,333,1400
15,Total general,60034,119632,155543
