,Área,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Administración y Comercio,37699.0,97723.0,86500
1,Agropecuaria,4280.0,4641.0,17119
2,Arte y Arquitectura,1898.0,23023.0,27838
3,Ciencias Básicas,1176.0,710.0,15872
4,Ciencias Sociales,2910.0,28952.0,71582
5,Derecho,1219.0,1487.0,38716
6,Educación,14992.0,35960.0,85169
7,Humanidades,64.0,1586.0,8020
8,Salud,29065.0,42983.0,153027
9,Tecnología,48408.0,143923.0,151310
10,Sin área definida,,,585
11,Total general,141711.0,380988.0,655738
