,Región,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Arica y Parinacota,5261,1538,10477
1,Tarapacá,3204,3588,12257
2,Antofagasta,5158,11952,23137
3,Atacama,2236,2579,8220
4,Coquimbo,9402,13112,21639
5,Valparaíso,11667,37440,80635
6,Metropolitana,42450,206971,312469
7,Lib. Gral. B. O'Higgins,4691,17968,5785
8,Maule,14447,12197,29600
9,Ñuble,4404,5573,13208
10,Biobío,12977,34642,77806
11,Araucanía,7964,12738,36476
12,Los Ríos,3691,4363,17481
13,Los Lagos,7045,13160,22104
14,Aysén,1312,463,1077
15,Magallanes,2031,1172,4544
16,Total general,137940,379456,676915
