,Tipo de institución,Matrícula Mujeres,Matrícula Hombres
0,Centros de Formación Técnica,73333.0,63542.0
1,Centros de Formación Técnica Estatales,468.0,606.0
2,Institutos Profesionales,191946.0,189466.0
3,U. Cruch Estatal,103404.0,98203.0
4,U. Cruch Privada,96429.0,98561.0
5,U. Privadas,206051.0,144352.0
6,U. (* Carrera en Convenio),1228.0,921.0
7,Total general,672859.0,595651.0
8,A partir del año 2019 las Universidades Alberto Hurtado y Diego Portales se han integrado formalmente al Consejo de Rectores (Cruch).,,
9,Carreras en Convenio: refiere a programas que tienen estudiantes reubicados desde Universidad Arcis a U. Católica del Maule y de la U. Iberoamericana reubicados en la Universidad de Santiago,,
