,Universidades,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% incremento 2007 - 2016,% incremento 2012 - 2016
0,Ingeniería Comercial,25181,27769,28960,31923,34797,37996,40408,41917,42512,43977,=(K218-B218)/B218,=(K218-G218)/G218
1,Enfermería,15380,18679,23295,28426,33494,37498,39071,40014,40855,41042,=(K219-B219)/B219,=(K219-G219)/G219
2,Derecho,32980,33986,35635,36569,37188,37148,37552,37413,37377,38529,=(K220-B220)/B220,=(K220-G220)/G220
3,Psicología,23938,24309,23916,24711,26116,27031,27599,28680,30003,31807,=(K221-B221)/B221,=(K221-G221)/G221
4,Ingeniería Civil Industrial,16323,18114,18903,21276,23051,25095,24893,26094,26612,27462,=(K222-B222)/B222,=(K222-G222)/G222
5,Kinesiología,14928,16798,19815,21878,23744,24440,23893,22692,21779,20920,=(K223-B223)/B223,=(K223-G223)/G223
6,Administración de Empresas e Ing. Asociadas,9442,10789,11993,13886,14856,15232,15868,16455,16399,16695,=(K224-B224)/B224,=(K224-G224)/G224
7,"Ingeniería Civil, plan común y licenciatura en Ciencias de la Ingeniería",9092,8754,11518,12034,12367,12774,14804,14134,15164,15271,=(K225-B225)/B225,=(K225-G225)/G225
8,Pedagogía en Educación Diferencial,5454,5987,6735,7636,8377,9276,9970,12133,13224,14917,=(K226-B226)/B226,=(K226-G226)/G226
9,Odontología,8314,9313,10336,11409,12494,13495,13991,14396,14490,14674,=(K227-B227)/B227,=(K227-G227)/G227
10,Nutrición y Dietética,4950,6163,7541,9202,11118,12629,13324,13714,14149,14588,=(K228-B228)/B228,=(K228-G228)/G228
11,Medicina,10168,10829,11630,11996,12450,12830,13249,13637,13930,14409,=(K229-B229)/B229,=(K229-G229)/G229
12,Pedagogía en Educación Física,16239,17411,18601,19533,20252,19633,18345,16448,15277,14261,=(K230-B230)/B230,=(K230-G230)/G230
13,Trabajo Social,11426,11400,11686,12418,13319,13296,13490,13007,13202,13156,=(K231-B231)/B231,=(K231-G231)/G231
14,Arquitectura,12787,12507,12466,12395,12194,12081,11943,11838,12010,12245,=(K232-B232)/B232,=(K232-G232)/G232
15,Fonoaudiología,4093,5109,6125,7512,9369,10866,11055,11397,11720,11844,=(K233-B233)/B233,=(K233-G233)/G233
16,Contador Auditor,11068,10956,11195,12209,13008,12794,12857,11796,11581,11761,=(K234-B234)/B234,=(K234-G234)/G234
17,Tecnología Médica,5107,5697,6316,6975,7611,8511,9430,10045,10657,11278,=(K235-B235)/B235,=(K235-G235)/G235
18,Ingeniería en Computación e Informática,11193,11586,11938,12447,12607,11987,11957,11044,10317,9985,=(K236-B236)/B236,=(K236-G236)/G236
19,Pedagogía en Idiomas,9312,10350,11010,11645,12021,11943,11268,10456,9810,9330,=(K237-B237)/B237,=(K237-G237)/G237
