,Universidades,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,% de variación 2008 - 2017,% de variación 2013 - 2017
0,Ingeniería Comercial,27769,28960,31923,34797,37996,40408,42017,42610,44043,44613,=(K218-B218)/B218,=(K218-G218)/G218
1,Enfermería,18679,23295,28426,33494,37498,39071,40014,40906,41099,40383,=(K219-B219)/B219,=(K219-G219)/G219
2,Derecho,33986,35635,36569,37188,37148,37552,37413,37377,38537,39310,=(K220-B220)/B220,=(K220-G220)/G220
3,Psicología,24309,23916,24711,26116,27031,27599,28710,30038,31834,33320,=(K221-B221)/B221,=(K221-G221)/G221
4,Ingeniería Civil Industrial,18114,18903,21276,23051,25095,24893,26094,26612,27462,27613,=(K222-B222)/B222,=(K222-G222)/G222
5,Kinesiología,16798,19815,21878,23744,24440,23893,22692,21787,20928,20259,=(K223-B223)/B223,=(K223-G223)/G223
6,Administración de Empresas e Ing. Asociadas,10789,12130,13912,14981,15299,15893,16454,16377,16639,17067,=(K224-B224)/B224,=(K224-G224)/G224
7,"Ingeniería Civil, plan común y licenciatura en Cs de la Ingeniería",8754,9493,11954,12367,12774,14804,14134,15164,15271,16234,=(K225-B225)/B225,=(K225-G225)/G225
8,Pedagogía en Educación Diferencial,5987,6735,7636,8377,9276,9970,12133,13224,14917,15598,=(K226-B226)/B226,=(K226-G226)/G226
9,Medicina,10829,11630,11996,12450,12830,13365,13740,14018,14498,15025,=(K227-B227)/B227,=(K227-G227)/G227
10,Nutrición y Dietética,6163,7541,9202,11118,12629,13324,13714,14149,14588,14982,=(K228-B228)/B228,=(K228-G228)/G228
11,Odontología,9313,10336,11409,12494,13495,14005,14423,14519,14688,14780,=(K229-B229)/B229,=(K229-G229)/G229
12,Trabajo Social,11400,11686,12418,13319,13296,13490,13007,13202,13156,13746,=(K230-B230)/B230,=(K230-G230)/G230
13,Contador Auditor,10956,11198,12209,13008,12794,13006,12177,12103,12587,13011,=(K231-B231)/B231,=(K231-G231)/G231
14,Arquitectura,12507,12466,12395,12194,12081,11943,11838,12010,12245,12511,=(K232-B232)/B232,=(K232-G232)/G232
15,Pedagogía en Educación Física,17411,18601,19533,20252,19633,18345,16448,15277,14261,12293,=(K233-B233)/B233,=(K233-G233)/G233
16,Tecnología Médica,5697,6316,6975,7611,8511,9430,10045,10657,11278,12081,=(K234-B234)/B234,=(K234-G234)/G234
17,Fonoaudiología,5109,6125,7512,9369,10866,11055,11397,11720,11844,11799,=(K235-B235)/B235,=(K235-G235)/G235
18,Pedagogía en Educación de Párvulos,10355,9541,9735,9604,9554,8623,7923,8240,9489,10337,=(K236-B236)/B236,=(K236-G236)/G236
19,Terapia Ocupacional,1895,2302,3079,4047,5243,6222,7052,7955,8835,9792,=(K237-B237)/B237,=(K237-G237)/G237
