,Región,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% incremento 2007 - 2016,% incremento 2012 - 2016,% incremento 2015 - 2016
0,XV Región,12507,13429,13354,14662,14833,15473,16712,17001,16012,16216,=(K93-B93)/B93,=(K93-G93)/G93,=(K93-J93)/J93
1,I Región,12076,13287,14305,15542,15716,15696,16787,17519,18120,17806,=(K94-B94)/B94,=(K94-G94)/G94,=(K94-J94)/J94
2,II Región,28714,30408,33426,36254,37552,38426,40705,41752,42313,40548,=(K95-B95)/B95,=(K95-G95)/G95,=(K95-J95)/J95
3,III Región,6828,7797,8205,9108,10282,10724,11079,12033,10521,12128,=(K96-B96)/B96,=(K96-G96)/G96,=(K96-J96)/J96
4,IV Región,26262,29175,32315,35849,38145,40414,41822,42277,42727,43601,=(K97-B97)/B97,=(K97-G97)/G97,=(K97-J97)/J97
5,V Región,94265,100977,107378,116170,123107,125397,132435,134320,136046,136793,=(K98-B98)/B98,=(K98-G98)/G98,=(K98-J98)/J98
6,Región Metropolitana,381721,392715,422535,470329,506870,535531,559124,582406,590537,598002,=(K99-B99)/B99,=(K99-G99)/G99,=(K99-J99)/J99
7,VI Región,11318,11827,15757,18830,21632,25134,26371,28465,28893,28829,=(K100-B100)/B100,=(K100-G100)/G100,=(K100-J100)/J100
8,VII Región,29062,34241,38782,43720,54398,58780,61057,51784,52978,55349,=(K101-B101)/B101,=(K101-G101)/G101,=(K101-J101)/J101
9,VIII Región,96580,105335,115384,126456,138566,147081,155415,159345,162394,160757,=(K102-B102)/B102,=(K102-G102)/G102,=(K102-J102)/J102
10,IX Región,33891,34453,38248,42358,46636,50381,53793,56535,57775,60320,=(K103-B103)/B103,=(K103-G103)/G103,=(K103-J103)/J103
11,XIV Región,14555,14882,16894,17705,19006,20396,21885,22415,22620,23379,=(K104-B104)/B104,=(K104-G104)/G104,=(K104-J104)/J104
12,X Región,20658,23517,26701,29462,33109,34618,38038,39883,41982,42889,=(K105-B105)/B105,=(K105-G105)/G105,=(K105-J105)/J105
13,XI Región,867,964,1353,1521,1671,1606,1723,1987,2215,2471,=(K106-B106)/B106,=(K106-G106)/G106,=(K106-J106)/J106
14,XII Región,7596,6790,7082,7652,7578,7263,7425,7588,7910,8047,=(K107-B107)/B107,=(K107-G107)/G107,=(K107-J107)/J107
15,Total general,776900,819797,891719,985618,1069101,1126920,1184371,1215310,1233043,1247135,=(K108-B108)/B108,=(K108-G108)/G108,=(K108-J108)/J108
