,Tipo de institución,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% incremento 2007 - 2016,% incremento 2012 - 2016,% incremento 2015 - 2016
0,CENTROS DE FORMACIÓN TÉCNICA,86847.0,95903,110021,128571,138635,140048,144383,148012,146546,141720,=(K43-B43)/B43,=(K43-G43)/G43,=(K43-J43)/J43
1,Pregrado,86847.0,95891,110007,128566,138574,140031,144365,148010,146540,141711,=(K44-B44)/B44,=(K44-G44)/G44,=(K44-J44)/J44
2,Postitulo,,12,14,5,61,17,18,2,6,9,n/a,=(K45-G45)/G45,=(K45-J45)/J45
3,INSTITUTOS PROFESIONALES,156126.0,162870,189622,224339,267766,301156,332147,357575,378802,384667,=(K46-B46)/B46,=(K46-G46)/G46,=(K46-J46)/J46
4,Pregrado,156126.0,162848,189597,224301,260692,293519,324579,351184,373171,380988,=(K47-B47)/B47,=(K47-G47)/G47,=(K47-J47)/J47
5,Postitulo,,22,25,38,7074,7637,7568,6391,5631,3679,n/a,=(K48-G48)/G48,=(K48-J48)/J48
6,UNIVERSIDADES ESTATALES CRUCH,175004.0,177210,177826,178541,173901,175586,184477,188565,188804,191847,=(K49-B49)/B49,=(K49-G49)/G49,=(K49-J49)/J49
7,Pregrado,164654.0,163487,163656,162284,159643,158192,166232,169614,171384,174242,=(K50-B50)/B50,=(K50-G50)/G50,=(K50-J50)/J50
8,Posgrado,8640.0,10810,10714,12675,11317,14249,14823,14867,13807,13807,=(K51-B51)/B51,=(K51-G51)/G51,=(K51-J51)/J51
9,Postitulo,1710.0,2913,3456,3582,2941,3145,3422,4084,3613,3798,=(K52-B52)/B52,=(K52-G52)/G52,=(K52-J52)/J52
10,UNIVERSIDADES PRIVADAS CRUCH,110980.0,117948,125301,132349,135432,136189,141563,144984,147903,154017,=(K53-B53)/B53,=(K53-G53)/G53,=(K53-J53)/J53
11,Pregrado,101031.0,107596,113271,119506,123023,124778,129501,131781,133564,138613,=(K54-B54)/B54,=(K54-G54)/G54,=(K54-J54)/J54
12,Posgrado,6602.0,7183,8183,8838,8715,8944,9359,10327,10571,11832,=(K55-B55)/B55,=(K55-G55)/G55,=(K55-J55)/J55
13,Postitulo,3347.0,3169,3847,4005,3694,2467,2703,2876,3768,3572,=(K56-B56)/B56,=(K56-G56)/G56,=(K56-J56)/J56
14,UNIVERSIDADES PRIVADAS,247943.0,265866,288949,321818,353367,373941,381801,376174,370988,374884,=(K57-B57)/B57,=(K57-G57)/G57,=(K57-J57)/J57
15,Pregrado,239747.0,253514,272809,303483,333169,348275,349600,343972,341247,342883,=(K58-B58)/B58,=(K58-G58)/G58,=(K58-J58)/J58
16,Posgrado,5451.0,8081,9460,11872,14370,18008,22544,21612,20999,21945,=(K59-B59)/B59,=(K59-G59)/G59,=(K59-J59)/J59
17,Postitulo,2745.0,4271,6680,6463,5828,7658,9657,10590,8742,10056,=(K60-B60)/B60,=(K60-G60)/G60,=(K60-J60)/J60
18,Total general,776900.0,819797,891719,985618,1069101,1126920,1184371,1215310,1233043,1247135,=(K61-B61)/B61,=(K61-G61)/G61,=(K61-J61)/J61
