,Área,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,% de variación 2008 - 2017,% de variación 2013 - 2017,% de variación 2016 - 2017
0,Administración y Comercio,46126,51170,56267,60550,61082,62651,67385,70022,72850,71997,=(K157-B157)/B157,=(K157-G157)/G157,=(K157-J157)/J157
1,Agropecuaria,6683,6931,6468,6284,6184,6048,5925,6548,7318,7788,=(K158-B158)/B158,=(K158-G158)/G158,=(K158-J158)/J158
2,Arte y Arquitectura,15094,15527,16391,15675,15620,15905,15330,15538,15795,15904,=(K159-B159)/B159,=(K159-G159)/G159,=(K159-J159)/J159
3,Ciencias Básicas,4635,4759,4894,4779,4812,5980,5901,5817,5627,5149,=(K160-B160)/B160,=(K160-G160)/G160,=(K160-J160)/J160
4,Ciencias Sociales,20653,22779,24811,24698,24841,25126,25005,25863,27967,29937,=(K161-B161)/B161,=(K161-G161)/G161,=(K161-J161)/J161
5,Derecho,12893,12428,11448,10602,9815,8772,9044,9051,9350,9900,=(K162-B162)/B162,=(K162-G162)/G162,=(K162-J162)/J162
6,Educación,34667,38984,44423,44139,42735,38860,36846,36968,40079,41100,=(K163-B163)/B163,=(K163-G163)/G163,=(K163-J163)/J163
7,Humanidades,3246,3228,3452,3377,3259,3310,3090,3060,2941,2932,=(K164-B164)/B164,=(K164-G164)/G164,=(K164-J164)/J164
8,Salud,41771,48952,59271,63896,65386,60225,58119,57972,58236,58662,=(K165-B165)/B165,=(K165-G165)/G165,=(K165-J165)/J165
9,Tecnología,66433,76139,86808,93430,98128,115322,114138,106291,97083,90881,=(K166-B166)/B166,=(K166-G166)/G166,=(K166-J166)/J166
10,Sin área definida,763,750,770,911,966,801,850,837,857,959,=(K167-B167)/B167,=(K167-G167)/G167,=(K167-J167)/J167
11,Total general,252964,281647,315003,328341,332828,343000,341633,337967,338103,335209,=(K168-B168)/B168,=(K168-G168)/G168,=(K168-J168)/J168
