,Nombre de la institución,Matrícula Total de Pregrado 2016,Matrícula Total de Posgrado 2016,Matrícula Total de Postítulo 2016
0,CFT ALFA,69,,
1,CFT ALPES,213,,
2,CFT ANDRES BELLO,1852,,
3,CFT BARROS ARANA,203,,
4,CFT CAMARA DE COMERCIO DE SANTIAGO,1826,,
5,CFT CEDUC - UCN,2551,,
6,CFT CEITEC,58,,
7,CFT CENCO,1414,,
8,CFT CENTRO TECNOLOGICO SUPERIOR INFOMED,54,,9.0
9,CFT CEPA DE LA III REGION,11,,
10,CFT DE ENAC,3765,,
11,CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,80,,
12,CFT DE LA INDUSTRIA GRAFICA - INGRAF,95,,
13,CFT DE TARAPACA,2689,,
14,CFT DEL MEDIO AMBIENTE,1947,,
15,CFT DUOC UC,4733,,
16,CFT EDUCAP,664,,
17,CFT ESANE DEL NORTE,109,,
18,CFT ESCUELA CULINARIA FRANCESA - ECOLE,251,,
19,CFT ESCUELA DE ARTES APLICADAS OFICIOS DEL FUEGO,78,,
20,CFT ESTUDIO PROFESOR VALERO,139,,
21,CFT FINNING,126,,
22,CFT ICEL,4938,,
23,CFT INACAP,48634,,
24,CFT INSTITUTO CENTRAL DE CAPACITACION EDUCACIONAL ICCE,527,,
25,CFT INSTITUTO SUPERIOR ALEMAN DE COMERCIO INSALCO,44,,
26,CFT INSTITUTO SUPERIOR DE ESTUDIOS JURIDICOS CANON,589,,
27,CFT INSTITUTO TECNOLOGICO DE CHILE - I.T.C.,2825,,
28,CFT IPROSEC,885,,
29,CFT JUAN BOHON,1275,,
30,CFT LAPLACE,331,,
31,CFT LOS LAGOS,2085,,
32,CFT LOS LEONES,155,,
33,CFT LOTA-ARAUCO,1819,,
34,CFT LUIS ALBERTO VERA,267,,
35,CFT MAGNOS,210,,
36,CFT MANPOWER,1068,,
37,CFT MASSACHUSETTS,599,,
38,CFT PROANDES,3829,,
39,CFT PRODATA,332,,
40,CFT PROFASOC,143,,
41,CFT PROTEC,13,,
42,CFT SAN AGUSTIN DE TALCA,3886,,
43,CFT SANTO TOMAS,38902,,
44,CFT SIMON BOLIVAR,425,,
45,CFT TEODORO WICKEL KLUWEN,976,,
46,CFT U.VALPO.,938,,
47,CFT UCEVALPO,2636,,
48,CFT UDA,453,,
49,IP ADVENTISTA,14,,
50,IP AGRARIO ADOLFO MATTHEI,371,,
51,IP AIEP,97694,,
52,IP ALEMAN WILHELM VON HUMBOLDT,9,,
53,IP CARLOS CASANUEVA,1213,,
54,IP CHILENO NORTEAMERICANO,164,,
55,IP CHILENO-BRITANICO DE CULTURA,263,,
56,IP CIISA,1077,,
57,IP DE ARTE Y COMUNICACION ARCOS,1924,,
58,IP DE ARTES ESCENICAS KAREN CONNOLLY,16,,
59,IP DE CHILE,23601,,
60,IP DE CIENCIAS DE LA COMPUTACION ACUARIO DATA,103,,
61,IP DE CIENCIAS Y ARTES INCACEA,14,,
62,IP DE CIENCIAS Y EDUCACION HELEN KELLER,132,,
63,IP DE LOS ANGELES,387,,
64,IP DEL COMERCIO,962,,
65,IP DEL VALLE CENTRAL,7153,,
66,IP DIEGO PORTALES,3570,,
67,IP DR. VIRGINIO GOMEZ G.,10283,,
68,IP DUOC UC,92612,,
69,IP EATRI INSTITUTO PROFESIONAL,822,,17.0
70,IP ESCUELA DE CINE DE CHILE,96,,
71,IP ESCUELA DE CONTADORES AUDITORES DE SANTIAGO,1669,,
72,IP ESCUELA MODERNA DE MUSICA,882,,
73,IP ESUCOMEX,2951,,
74,IP HOGAR CATEQUISTICO,81,,
75,IP INACAP,36417,,
76,IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX,4064,,
77,IP INSTITUTO INTERNACIONAL DE ARTES CULINARIAS Y SERVICIOS,817,,
78,IP INSTITUTO NACIONAL DEL FUTBOL,1115,,34.0
79,IP INSTITUTO SUPERIOR DE ARTES Y CIENCIAS DE LA COMUNICACION,8418,,
80,IP IPG,4226,,
81,IP LA ARAUCANA,18738,,
82,IP LATINOAMERICANO DE COMERCIO EXTERIOR,8903,,3459.0
83,IP LIBERTADOR DE LOS ANDES,443,,
84,IP LOS LAGOS,6151,,
85,IP LOS LEONES,13523,,
86,IP MAR FUTURO,38,,
87,IP PROJAZZ,406,,
88,IP PROVIDENCIA,4857,,169.0
89,IP SANTO TOMAS,24668,,
90,IP VERTICAL,141,,
91,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,26979,4948.0,949.0
92,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,14223,1271.0,58.0
93,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,3542,157.0,132.0
94,UNIVERSIDAD ADOLFO IBAÑEZ,8769,2727.0,620.0
95,UNIVERSIDAD ADVENTISTA DE CHILE,1868,86.0,61.0
96,UNIVERSIDAD ALBERTO HURTADO,6356,1100.0,425.0
97,UNIVERSIDAD ANDRES BELLO,43403,3211.0,190.0
98,UNIVERSIDAD ARTURO PRAT,13144,725.0,38.0
99,UNIVERSIDAD AUSTRAL DE CHILE,13699,684.0,198.0
100,UNIVERSIDAD AUTONOMA DE CHILE,21938,238.0,60.0
101,UNIVERSIDAD BERNARDO OHIGGINS,5358,207.0,
102,UNIVERSIDAD BOLIVARIANA,4618,,
103,UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,13399,567.0,494.0
104,UNIVERSIDAD CATOLICA DE TEMUCO,10003,279.0,293.0
105,UNIVERSIDAD CATOLICA DEL MAULE,7093,534.0,157.0
106,UNIVERSIDAD CATOLICA DEL NORTE,10407,396.0,608.0
107,UNIVERSIDAD CATOLICA SILVA HENRIQUEZ,5817,138.0,291.0
108,UNIVERSIDAD CENTRAL DE CHILE,11842,533.0,394.0
109,UNIVERSIDAD CHILENO BRITANICA DE CULTURA,416,,5.0
110,UNIVERSIDAD DE ACONCAGUA,7103,75.0,
111,UNIVERSIDAD DE ANTOFAGASTA,6965,268.0,100.0
112,UNIVERSIDAD DE ARTE Y CIENCIAS SOCIALES ARCIS,889,37.0,
113,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC",4012,118.0,
114,UNIVERSIDAD DE ATACAMA,6359,14.0,
115,UNIVERSIDAD DE CHILE,30480,7191.0,1203.0
116,UNIVERSIDAD DE CONCEPCION,24812,2093.0,691.0
117,UNIVERSIDAD DE LA FRONTERA,9539,672.0,99.0
118,UNIVERSIDAD DE LA SERENA,7090,145.0,124.0
119,UNIVERSIDAD DE LAS AMERICAS,24264,136.0,121.0
120,UNIVERSIDAD DE LOS ANDES,7486,834.0,1025.0
121,UNIVERSIDAD DE LOS LAGOS,9251,120.0,
122,UNIVERSIDAD DE MAGALLANES,4440,81.0,6.0
123,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,7912,417.0,31.0
124,UNIVERSIDAD DE SANTIAGO DE CHILE,21236,1565.0,1104.0
125,UNIVERSIDAD DE TALCA,9666,913.0,141.0
126,UNIVERSIDAD DE TARAPACA,8456,46.0,37.0
127,UNIVERSIDAD DE VALPARAISO,14914,909.0,712.0
128,UNIVERSIDAD DE VIÑA DEL MAR,8957,78.0,
129,UNIVERSIDAD DEL BIO-BIO,11890,445.0,86.0
130,UNIVERSIDAD DEL DESARROLLO,13849,1835.0,881.0
131,UNIVERSIDAD DEL MAR,168,,
132,UNIVERSIDAD DEL PACIFICO,3823,130.0,76.0
133,UNIVERSIDAD DIEGO PORTALES,14822,1947.0,1831.0
134,UNIVERSIDAD FINIS TERRAE,6839,1199.0,388.0
135,UNIVERSIDAD GABRIELA MISTRAL,927,55.0,35.0
136,"UNIVERSIDAD IBEROAMERICANA DE CIENCIAS Y TECNOLOGIA, UNICYT",2595,29.0,
137,UNIVERSIDAD LA REPUBLICA,4738,176.0,112.0
138,UNIVERSIDAD LOS LEONES,1973,,
139,UNIVERSIDAD MAYOR,18787,3310.0,1368.0
140,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,4558,211.0,57.0
141,UNIVERSIDAD MIGUEL DE CERVANTES,957,846.0,202.0
142,UNIVERSIDAD PEDRO DE VALDIVIA,7001,13.0,30.0
143,UNIVERSIDAD SAN SEBASTIAN,27063,1362.0,1314.0
144,UNIVERSIDAD SANTO TOMAS,29260,935.0,360.0
145,UNIVERSIDAD SEK,5553,102.0,25.0
146,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,17998,1060.0,124.0
147,UNIVERSIDAD TECNOLOGICA DE CHILE INACAP,35276,90.0,110.0
148,UNIVERSIDAD TECNOLOGICA METROPOLITANA,8342,85.0,60.0
149,UNIVERSIDAD UCINF,2614,241.0,
150,Total general,1178437,47584.0,21114.0
