,Nombre de la institución
0,CFT ALEXANDER VON HUMBOLDT
1,CFT ALFA
2,CFT ALPES
3,CFT ANDRES BELLO
4,CFT BARROS ARANA
5,CFT CAMARA DE COMERCIO DE SANTIAGO
6,CFT CEDUC - UCN
7,CFT CEITEC
8,CFT CENCO
9,CFT CENTRO TECNOLOGICO SUPERIOR INFOMED
10,CFT CEPA DE LA III REGION
11,CFT CEPONAL
12,CFT CRECIC
13,CFT CROWNLIET
14,CFT DE ENAC
15,CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD
16,CFT DE LA INDUSTRIA GRAFICA - INGRAF
17,CFT DE TARAPACA
18,CFT DEL MEDIO AMBIENTE
19,CFT DIEGO PORTALES
20,CFT DUOC UC
21,CFT EDUCAP
22,CFT ESANE DEL NORTE
23,CFT ESCUELA CULINARIA FRANCESA - ECOLE
24,CFT ESCUELA DE ARTES APLICADAS OFICIOS DEL FUEGO
25,CFT ESCUELA DE INTERPRETES INCENI
26,CFT ESPERANZA JOVEN
27,CFT ESTUDIO PROFESOR VALERO
28,CFT FONTANAR
29,CFT ICEL
30,CFT INACAP
31,CFT INSTITUTO CENTRAL DE CAPACITACION EDUCACIONAL ICCE
32,CFT INSTITUTO DE SECRETARIADO INSEC
33,CFT INSTITUTO SUPERIOR ALEMAN DE COMERCIO INSALCO
34,CFT INSTITUTO SUPERIOR DE ESTUDIOS JURIDICOS CANON
35,CFT INSTITUTO TECNOLOGICO DE CHILE - I.T.C.
36,CFT IPROSEC
37,CFT JAVIERA CARRERA
38,CFT JORGE ALVAREZ ECHEVERRIA
39,CFT JUAN BOHON
40,CFT LA ARAUCANA
41,CFT LAPLACE
42,CFT LOS LEONES
43,CFT LOTA-ARAUCO
44,CFT LUIS ALBERTO VERA
45,CFT MAGNOS
46,CFT MANPOWER
47,CFT MASSACHUSETTS
48,CFT OSORNO
49,CFT PROANDES
50,CFT PRODATA
51,CFT PROFASOC
52,CFT PROTEC
53,CFT SAN AGUSTIN DE TALCA
54,CFT SANTO TOMAS
55,CFT SIMON BOLIVAR
56,CFT TEODORO WICKEL KLUWEN
57,CFT U.VALPO.
58,CFT UCEVALPO
59,CFT UDA
60,IP ADVENTISTA
61,IP AGRARIO ADOLFO MATTHEI
62,IP AIEP
63,IP ALEMAN WILHELM VON HUMBOLDT
64,IP ARTURO PRAT
65,IP CARLOS CASANUEVA
66,IP CHILENO NORTEAMERICANO
67,IP CHILENO-BRITANICO DE CULTURA
68,IP CIISA
69,IP DE ARTE Y COMUNICACION ARCOS
70,IP DE ARTES ESCENICAS KAREN CONNOLLY
71,IP DE CHILE
72,IP DE CIENCIAS DE LA COMPUTACION ACUARIO DATA
73,IP DE CIENCIAS Y ARTES INCACEA
74,IP DE CIENCIAS Y EDUCACION HELEN KELLER
75,IP DE ENAC
76,IP DE LOS ANGELES
77,IP DEL VALLE CENTRAL
78,IP DIEGO PORTALES
79,IP DR. VIRGINIO GOMEZ G.
80,IP DUOC UC
81,IP EATRI INSTITUTO PROFESIONAL
82,IP ESCUELA DE CINE DE CHILE
83,IP ESCUELA DE CONTADORES AUDITORES DE SANTIAGO
84,IP ESCUELA MODERNA DE MUSICA
85,IP ESUCOMEX
86,IP HOGAR CATEQUISTICO
87,IP INACAP
88,IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX
89,IP INSTITUTO INTERNACIONAL DE ARTES CULINARIAS Y SERVICIOS
90,IP INSTITUTO NACIONAL DEL FUTBOL
91,IP INSTITUTO SUPERIOR DE ARTES Y CIENCIAS DE LA COMUNICACION
92,IP IPEGE
93,IP LA ARAUCANA
94,IP LATINOAMERICANO DE COMERCIO EXTERIOR
95,IP LIBERTADOR DE LOS ANDES
96,IP LOS LAGOS
97,IP LOS LEONES
98,IP PROJAZZ
99,IP PROVIDENCIA
100,IP SANTO TOMAS
101,IP VERTICAL
102,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
103,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO
104,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO
105,UNIVERSIDAD ADOLFO IBAÑEZ
106,UNIVERSIDAD ADVENTISTA DE CHILE
107,UNIVERSIDAD ALBERTO HURTADO
108,UNIVERSIDAD ARTURO PRAT
109,UNIVERSIDAD AUSTRAL DE CHILE
110,UNIVERSIDAD AUTONOMA DE CHILE
111,UNIVERSIDAD BERNARDO O'HIGGINS
112,UNIVERSIDAD BOLIVARIANA
113,UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION
114,UNIVERSIDAD CATOLICA DE TEMUCO
115,UNIVERSIDAD CATOLICA DEL MAULE
116,UNIVERSIDAD CATOLICA DEL NORTE
117,UNIVERSIDAD CATOLICA SILVA HENRIQUEZ
118,UNIVERSIDAD CENTRAL DE CHILE
119,UNIVERSIDAD CHILENO BRITANICA DE CULTURA
120,UNIVERSIDAD DE ACONCAGUA
121,UNIVERSIDAD DE ANTOFAGASTA
122,UNIVERSIDAD DE ARTE Y CIENCIAS SOCIALES ARCIS
123,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC"
124,UNIVERSIDAD DE ATACAMA
125,UNIVERSIDAD DE CHILE
126,UNIVERSIDAD DE CONCEPCION
127,UNIVERSIDAD DE LA FRONTERA
128,UNIVERSIDAD DE LA SERENA
129,UNIVERSIDAD DE LAS AMERICAS
130,UNIVERSIDAD DE LOS ANDES
131,UNIVERSIDAD DE LOS LAGOS
132,UNIVERSIDAD DE MAGALLANES
133,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION
134,UNIVERSIDAD DE SANTIAGO DE CHILE
135,UNIVERSIDAD DE TALCA
136,UNIVERSIDAD DE TARAPACA
137,UNIVERSIDAD DE VALPARAISO
138,UNIVERSIDAD DE VIÑA DEL MAR
139,UNIVERSIDAD DEL BIO-BIO
140,UNIVERSIDAD DEL DESARROLLO
141,UNIVERSIDAD DEL MAR
142,UNIVERSIDAD DEL PACIFICO
143,UNIVERSIDAD DIEGO PORTALES
144,UNIVERSIDAD FINIS TERRAE
145,UNIVERSIDAD GABRIELA MISTRAL
146,"UNIVERSIDAD IBEROAMERICANA DE CIENCIAS Y TECNOLOGIA, UNICYT"
147,UNIVERSIDAD INTERNACIONAL SEK
148,UNIVERSIDAD LA ARAUCANA
149,UNIVERSIDAD LA REPUBLICA
150,UNIVERSIDAD LOS LEONES
151,UNIVERSIDAD MAYOR
152,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION
153,UNIVERSIDAD MIGUEL DE CERVANTES
154,UNIVERSIDAD NACIONAL ANDRES BELLO
155,UNIVERSIDAD PEDRO DE VALDIVIA
156,UNIVERSIDAD SAN SEBASTIAN
157,UNIVERSIDAD SANTO TOMAS
158,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA
159,UNIVERSIDAD TECNOLOGICA DE CHILE INACAP
160,UNIVERSIDAD TECNOLOGICA METROPOLITANA
161,UNIVERSIDAD UCINF
162,Total general
