,Unnamed: 0,Tipo de institución,Matrícula Mujeres,Matrícula Hombres,source
0,0,Centros de Formación Técnica,73801,64148,Matricula Total 2019 por tipo de institución y sexo
1,1,Institutos Profesionales,191946,189466,Matricula Total 2019 por tipo de institución y sexo
2,2,Universidades,407112,342037,Matricula Total 2019 por tipo de institución y sexo
3,3,Total general,672859,595651,Matricula Total 2019 por tipo de institución y sexo
0,0,Centros de Formación Técnica,72670,64114,Matricula Total 2018 por tipo de institución y sexo
1,1,Institutos Profesionales,189122,186340,Matricula Total 2018 por tipo de institución y sexo
2,2,Universidades,407482,343043,Matricula Total 2018 por tipo de institución y sexo
3,3,Total general,669274,593497,Matricula Total 2018 por tipo de institución y sexo
0,0,Centros de Formación Técnica,71879,64910,Matricula Total 2017 por tipo de institución y sexo
1,1,Institutos Profesionales,190182,187172,Matricula Total 2017 por tipo de institución y sexo
2,2,Universidades,394739,338864,Matricula Total 2017 por tipo de institución y sexo
3,3,Total general,656800,590946,Matricula Total 2017 por tipo de institución y sexo
