,Unnamed: 0,Tipo de institución,Pregrado,Posgrado,Postítulo,source
0,0,Centros de Formación Técnica,137940,,9,Matricula Total 2019 por tipo de institución y nivel de formación
1,1,Institutos Profesionales,379456,,1956,Matricula Total 2019 por tipo de institución y nivel de formación
2,2,Universidades,676915,48396.0,23838,Matricula Total 2019 por tipo de institución y nivel de formación
3,3,Total general,1194311,48396.0,25803,Matricula Total 2019 por tipo de institución y nivel de formación
0,0,Centros de Formación Técnica,136773,,11,Matricula Total 2018 por tipo de institución y nivel de formación
1,1,Institutos Profesionales,373669,,1793,Matricula Total 2018 por tipo de institución y nivel de formación
2,2,Universidades,677981,46820.0,25724,Matricula Total 2018 por tipo de institución y nivel de formación
3,3,Total general,1188423,46820.0,27528,Matricula Total 2018 por tipo de institución y nivel de formación
0,0,Centros de Formación Técnica,136777,,12,Matricula Total 2017 por tipo de institución y nivel de formación
1,1,Institutos Profesionales,374710,,2644,Matricula Total 2017 por tipo de institución y nivel de formación
2,2,Universidades,665240,48716.0,19647,Matricula Total 2017 por tipo de institución y nivel de formación
3,3,Total general,1176727,48716.0,22303,Matricula Total 2017 por tipo de institución y nivel de formación
0,0,Centros de Formación Técnica,147982,,2,Matricula Total 2014 por tipo de institución y grado
1,1,Institutos Profesionales,351184,,6391,Matricula Total 2014 por tipo de institución y grado
2,2,Universidades Cruch ,301336,25194.0,7019,Matricula Total 2014 por tipo de institución y grado
3,3,Universidades Privadas,344103,21612.0,10590,Matricula Total 2014 por tipo de institución y grado
4,4,Total general,1144605,46806.0,24002,Matricula Total 2014 por tipo de institución y grado
0,0,Centros de Formación Técnica,146515,,6,Matricula Total 2015 por tipo de institución y grado
1,1,Institutos Profesionales,373171,,5631,Matricula Total 2015 por tipo de institución y grado
2,2,Universidades Estatales CRUCH,171384,13805.0,3615,Matricula Total 2015 por tipo de institución y grado
3,3,Universidades Privadas CRUCH,133193,10571.0,3768,Matricula Total 2015 por tipo de institución y grado
4,4,Universidades Privadas,341391,20999.0,8742,Matricula Total 2015 por tipo de institución y grado
5,5,Total general,1165654,45375.0,21762,Matricula Total 2015 por tipo de institución y grado
